0,Cluster_Name,UCAC4,RAJ2000,e_RAJ2000,DEJ2000,e_DEJ2000,ePos,EpRA,EpDE,f.mag,a.mag,e_a.mag,of,db,Na,Nu,Nc,pmRA,e_pmRA,pmDE,e_pmDE,Jmag,e_Jmag,q_Jmag,Hmag,e_Hmag,q_Hmag,Kmag,e_Kmag,q_Kmag,Bmag,e_Bmag,Vmag,e_Vmag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,g,c,H,A,b,h,Z,B,L,N,S,OutFlag,P_M1,P_M2_kinem,P_M2_join,P_M3,ClassM1,ClassM2,ClassM3
135,Ruprecht_147,369-165665,289.052,61,-16.3368,61,94,1994.34,1995.08,15.409,15.462,0.12,0,0,2,2,3,-2.4,4.9,-13.7,5.1,14.226,0.03,5,13.801,0.03,5,13.791,0.04,5,16.198,7,15.471,10,15.755,9,15.192,5,-9999.99,-9999.99,0,3,0,0,0,0,0,0,0,1,1,0,0,1,0.99,0,0,1,0
136,Ruprecht_147,369-165666,289.052,43,-16.2541,36,61,1994.25,1996,15.073,14.992,0.08,0,0,2,2,3,-0.5,3.5,-7.9,3.4,13.757,0.03,5,13.482,0.04,5,13.403,0.04,5,15.786,9,15.125,0,15.43,1,14.94,1,14.72,0,0,3,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0
137,Ruprecht_147,369-165667,289.052,69,-16.375,41,101,1986.26,1995.44,15.481,15.412,0.08,0,0,2,2,3,-5.1,4.4,-4.6,3.5,13.491,0.02,5,12.937,0.02,5,12.804,0.03,5,17.033,2,15.83,1,16.424,2,15.408,4,15.069,1,0,3,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0
138,Ruprecht_147,369-165670,289.054,47,-16.3951,58,78,1996.69,1996.5,15.175,15.032,0.06,0,0,2,2,3,-5.8,4.6,-17.5,5.6,13.348,0.02,5,12.771,0.02,5,12.701,0.03,5,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,0,3,0,0,0,0,0,0,0,1,1,0,0,0.87,0.9,0,0,1,0
139,Ruprecht_147,369-165671,289.055,74,-16.2679,73,135,1986.73,1986.12,15.541,16.067,-9999.99,0,0,1,1,3,-4.9,4.6,2.6,4.5,14.915,0.04,5,14.704,0.05,5,14.429,0.08,5,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,0,4,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0
140,Ruprecht_147,369-165672,289.055,21,-16.2242,21,30,1998.92,1998.92,14.326,14.266,0.1,0,0,5,5,3,-6.7,3.3,-12,3.3,12.527,0.02,5,12.036,0.03,5,11.912,0.03,5,15.632,6,14.5,3,15.063,1,14.122,6,13.771,5,0,3,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0
141,Ruprecht_147,369-165674,289.055,87,-16.2278,68,168,1979.47,1987.31,16.21,16.075,0.06,0,0,2,2,3,3.1,5.6,0.5,4.3,14.788,0.04,5,14.444,0.04,5,14.308,0.07,5,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,0,4,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0
142,Ruprecht_147,369-165675,289.056,76,-16.3434,80,136,1987.08,1990.36,16.079,15.895,0.18,0,0,2,2,3,-1.1,4.7,-4.2,5.3,14.57,0.04,5,14.166,0.06,5,14.03,0.07,5,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,0,4,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0
143,Ruprecht_147,369-165676,289.056,27,-16.3877,32,43,1998.35,1996.91,14.728,14.703,0.06,0,0,2,2,3,3.4,3.5,0.3,3.3,13.506,0.03,5,13.162,0.03,5,13.11,0.04,5,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,0,3,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0
144,Ruprecht_147,369-165677,289.057,76,-16.2029,72,139,1984.81,1986.48,16.19,16.386,-9999.99,0,0,1,1,3,-8.8,4.7,2.1,4.4,14.386,0.03,5,13.824,0.03,5,13.811,0.04,5,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,0,4,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0
145,Ruprecht_147,369-165678,289.058,46,-16.2598,44,70,1993.61,1994.19,15.427,15.329,0.2,0,0,2,2,3,-1.5,3.6,14.1,3.5,14.023,0.03,5,13.644,0.05,5,13.615,0.05,5,16.362,1,15.47,4,15.823,3,15.317,7,15.038,1,0,3,0,0,0,0,0,0,0,1,1,0,0,0.66,0.79,0,0,1,0
146,Ruprecht_147,369-165679,289.058,57,-16.3017,59,94,1992.14,1991.34,15.945,15.975,0.13,0,0,2,2,3,-6.4,4,-0.8,4,14.386,0.03,5,13.858,0.04,5,13.858,0.05,5,17.137,13,16.244,1,16.589,1,15.826,1,15.56,1,0,4,0,0,0,0,0,0,0,1,7,0,0,1,1,0,0,1,0
147,Ruprecht_147,369-165681,289.059,43,-16.3858,43,66,1995.37,1995.37,15.49,15.532,0.21,0,0,2,2,2,-6.1,4,-9.5,4,14.201,0.03,5,13.93,0.04,5,13.806,0.05,5,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,0,4,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0
148,Ruprecht_147,369-165682,289.06,18,-16.3929,26,33,1996.34,1995.9,10.305,10.281,0.01,0,0,5,5,6,1.2,1.7,-8.8,2.2,8.353,0.02,5,7.833,0.04,5,7.66,0.02,5,11.835,3,10.51,2,11.167,0,10.117,5,9.731,2,0,2,0,1,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0
149,Ruprecht_147,369-165684,289.061,21,-16.2109,15,26,1997.88,1997.89,12.663,12.633,0.06,0,0,5,5,4,0.1,2.2,-2.3,1.6,11.605,0.03,5,11.368,0.04,5,11.322,0.03,5,12.56,1,11.485,1,-9999.99,-9999.99,11.049,1,-9999.99,-9999.99,0,3,0,8,0,0,0,0,0,2,2,0,0,1,1,0,0,1,0
150,Ruprecht_147,369-165685,289.061,51,-16.2535,26,58,1998.04,1998.19,14.616,14.651,0.12,0,0,3,3,3,-11.4,6.3,-6.8,3.2,13.184,0.02,5,12.726,0.03,5,12.662,0.03,5,15.637,4,14.721,1,15.138,1,14.509,1,-9999.99,-9999.99,0,3,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0
151,Ruprecht_147,369-165686,289.061,30,-16.2135,30,52,1991.25,1991.25,-9999.99,-9999.99,-9999.99,7,0,0,0,2,-29.1,2.5,-6.1,2.5,9.486,0.02,5,8.94,0.02,5,8.787,0.02,5,13.591,0,12.041,0,11.988,1,-9999.99,-9999.99,10.723,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
152,Ruprecht_147,369-165688,289.061,21,-16.2136,15,26,1997.19,1997.33,11.319,11.297,0.03,0,0,5,5,4,-5.4,1.8,-9,1.5,9.486,0.02,5,8.94,0.02,5,8.787,0.02,5,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,0,4,0,4,0,0,0,0,0,6,2,0,0,1,1,0,0,1,0
153,Ruprecht_147,369-165689,289.061,96,-16.3081,97,198,1982.88,1982.17,16.196,16.316,-9999.99,0,0,1,1,3,1.8,5.8,-2.5,5.9,14.873,0.03,5,14.304,0.04,5,14.198,0.06,5,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,0,4,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0
154,Ruprecht_147,369-165690,289.064,80,-16.378,127,214,1983.4,1983.43,15.056,16.153,-9999.99,0,0,1,1,3,-5.6,5,-12.3,7.8,14.893,0.04,5,14.471,0.05,5,14.543,0.11,5,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,0,4,0,0,0,0,0,0,0,3,3,0,0,1,1,0,0,1,0
155,Ruprecht_147,369-165691,289.065,53,-16.3029,27,65,1993.61,1997.87,14.696,14.814,0.19,0,0,3,3,3,-9.5,4.1,-5.7,3.2,12.756,0.02,5,12.125,0.03,5,12.005,0.02,5,16.27,4,15.035,2,15.627,3,14.68,5,14.383,5,0,3,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0
156,Ruprecht_147,369-165692,289.066,39,-16.2649,45,64,1995.47,1993.87,14.993,15.124,0.19,0,0,3,3,3,-6.4,3.4,-3.5,3.5,13.184,0.02,5,12.615,0.03,5,12.482,0.03,5,16.5,12,15.262,9,15.885,3,14.968,8,14.614,15,0,3,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0
157,Ruprecht_147,369-165693,289.066,26,-16.2516,31,41,1998.29,1998.09,13.113,13.094,0.08,0,0,5,5,4,5,2.9,-11.7,3.3,11.787,0.02,5,11.483,0.03,5,11.383,0.03,5,13.398,3,12.682,8,13.008,5,12.463,6,12.298,7,0,3,0,3,0,0,0,0,0,1,1,0,0,0.98,0.99,0,0,1,0
158,Ruprecht_147,369-165694,289.068,25,-16.232,18,31,1999.13,1999.06,13.786,13.753,0.12,0,0,5,5,3,4,4.1,-4.5,2.9,12.399,0.02,5,12.068,0.03,5,12.016,0.03,5,14.695,2,13.874,1,14.26,2,13.675,5,13.448,2,0,3,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0
159,Ruprecht_147,369-165695,289.068,47,-16.3703,46,73,1993.36,1993.53,15.429,15.401,0.15,0,0,2,2,3,-1.5,3.6,-7.8,3.5,13.702,0.03,45,13.25,0.03,45,13.107,0.04,5,16.464,1,15.369,2,15.883,1,15.126,4,14.778,1,0,3,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0
160,Ruprecht_147,369-165696,289.068,99,-16.2684,99,212,1980.98,1980.62,16.283,16.383,-9999.99,0,0,1,1,3,1.2,5.9,-5.9,5.9,15.593,0.04,5,15.104,0.09,5,15.369,0.18,7,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,0,4,0,0,0,0,0,0,0,7,7,0,0,1,1,0,0,1,0
161,Ruprecht_147,369-165697,289.068,27,-16.2535,32,42,1998.26,1998.7,13.091,12.992,0.17,0,34,6,5,4,10.9,2.8,-4.4,3.7,11.664,0.02,5,11.368,0.03,5,11.281,0.02,5,13.398,3,12.682,8,13.008,5,12.463,6,12.298,7,0,3,0,4,0,0,0,0,0,2,2,0,0,0.92,0.97,0,0,1,0
162,Ruprecht_147,369-165698,289.069,75,-16.3776,71,132,1986.48,1987.76,16.191,16.473,0.05,0,0,2,2,3,0.9,4.7,-4,4.4,15.258,0.04,5,14.957,0.08,5,14.925,0.12,6,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,0,4,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0
163,Ruprecht_147,369-165699,289.069,82,-16.3725,82,155,1985.63,1985.48,15.458,16.297,-9999.99,0,0,1,1,3,1.6,5.1,-4.3,5,14.801,0.04,5,14.132,0.04,5,13.947,0.06,5,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,0,4,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0
164,Ruprecht_147,369-165700,289.069,121,-16.2159,84,248,1979.58,1990.44,16.389,16.17,-9999.99,0,0,1,1,2,-9.8,9.4,-16.2,6.1,15.008,0.04,5,14.587,0.07,5,14.537,0.09,5,16.199,11,15.367,1,-9999.99,-9999.99,-9999.99,-9999.99,14.94,1,0,4,0,0,0,0,0,0,0,0,3,0,0,0.88,0.83,0,0,1,0
165,Ruprecht_147,369-165701,289.07,35,-16.2143,41,58,1996.51,1995,15.599,15.465,0.19,0,0,2,2,3,3.2,3.4,21.9,3.5,14.046,0.04,5,13.712,0.05,5,13.533,0.05,5,16.199,11,15.367,1,-9999.99,-9999.99,-9999.99,-9999.99,14.94,1,0,4,0,0,0,0,0,0,0,1,3,0,0,0.07,0,0,0,0,0
166,Ruprecht_147,369-165703,289.073,55,-16.3987,53,86,1992.46,1992.76,15.736,15.607,0.05,0,0,2,2,3,-11.1,3.9,1.7,3.9,13.826,0.02,5,13.281,0.03,5,13.196,0.04,5,17.374,19,15.941,1,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,0,4,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0
167,Ruprecht_147,369-165706,289.073,17,-16.2637,18,24,1999.35,1999.26,13.685,13.664,0.09,0,0,5,5,3,-11.8,3.3,-7.7,3.3,12.299,0.02,5,11.957,0.02,5,11.901,0.03,5,14.576,2,13.793,4,14.148,2,13.555,1,13.379,4,0,3,0,0,0,0,0,0,0,1,1,0,0,0.99,1,0,0,1,0
168,Ruprecht_147,369-165707,289.074,21,-16.3543,16,26,1998.08,1998.13,13.117,13.131,0.09,0,0,5,5,4,-6.9,2.3,-24,1.7,11.778,0.02,5,11.445,0.02,5,11.381,0.02,5,14.023,1,13.24,3,13.591,2,13.049,4,12.821,3,0,3,0,1,0,0,0,0,0,1,1,0,0,0.05,0,0.79,0,0,1
169,Ruprecht_147,369-165708,289.074,19,-16.2032,19,27,1999.19,1999.19,13.966,13.931,0.1,0,0,5,5,3,10.2,3.3,-3.9,3.3,11.857,0.02,5,11.28,0.03,5,11.099,0.03,5,15.718,3,14.26,5,14.945,0,13.801,2,13.342,4,0,3,0,0,0,0,0,0,0,1,1,0,0,0.95,0.92,0,0,1,0
170,Ruprecht_147,369-165709,289.074,121,-16.2348,111,273,1977.05,1980.49,16.449,16.529,-9999.99,0,0,1,1,3,-12.9,7.7,-1,6.6,15.009,0.04,5,14.398,0.05,5,14.424,0.08,5,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,0,4,0,0,0,0,0,0,0,3,1,0,0,1,1,0,0,1,0
171,Ruprecht_147,369-165710,289.075,34,-16.2714,35,51,1996.58,1996.39,15.016,14.968,0.14,0,0,2,2,3,1.1,3.3,-4.8,3.3,13.301,0.03,5,12.785,0.03,5,12.676,0.03,5,16.307,6,15.3,4,15.795,2,14.963,7,14.614,7,0,3,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0
172,Ruprecht_147,369-165711,289.075,15,-16.3235,14,26,1991.2,1991.31,9.467,9.452,0.04,0,0,5,3,10,-4.2,1.5,-3.3,1.3,6.956,0.03,5,6.414,0.04,5,6.234,0.02,5,10.296,3,9.35,14,-9999.99,-9999.99,-9999.99,-9999.99,8.235,1,0,2,0,2,0,0,0,0,0,2,2,0,0,1,1,0,0,1,0
173,Ruprecht_147,369-165712,289.077,93,-16.3776,93,214,1980.06,1979.9,16.205,16.529,-9999.99,0,0,1,1,3,-2.9,6,-11.3,5.9,15.234,0.05,5,14.859,0.07,5,14.661,0.1,5,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,0,4,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0
174,Ruprecht_147,369-165713,289.078,56,-16.2597,32,75,1990.13,1996.93,15.188,15.236,0.14,0,0,2,2,3,1.5,3.8,-1.4,3.3,13.39,0.02,5,12.782,0.02,5,12.641,0.03,5,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,0,3,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0
175,Ruprecht_147,369-165714,289.078,88,-16.3951,78,152,1985.5,1987.32,16.151,16.1,0.2,0,0,2,2,3,-6.7,5.3,-4.2,4.7,14.846,0.05,45,14.524,0.05,5,14.313,0.08,5,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,0,4,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0
176,Ruprecht_147,369-165715,289.08,44,-16.3748,29,57,1993.94,1997.52,14.7,14.768,0.1,0,0,3,3,3,2.7,3.5,1.3,3.2,13.071,0.03,5,12.568,0.03,5,12.416,0.04,5,16.214,1,15.045,1,15.696,1,14.699,1,14.462,13,0,3,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0
177,Ruprecht_147,369-165716,289.08,70,-16.3562,63,113,1988.97,1990.72,16.131,16.017,0.21,0,0,2,2,3,-9.9,4.4,-5.5,4.2,14.63,0.04,5,14.069,0.05,5,14.082,0.06,5,17.071,12,16.145,1,16.673,13,15.875,1,15.344,1,0,4,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0
178,Ruprecht_147,369-165717,289.081,68,-16.312,66,115,1988.94,1989.51,16.077,16.28,-9999.99,0,0,1,1,3,2.1,4.4,-2.3,4.3,14.44,0.03,5,13.763,0.04,5,13.662,0.05,5,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,0,4,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0
179,Ruprecht_147,369-165718,289.083,15,-16.3348,19,25,1997.17,1996.91,11.745,11.745,0.04,0,0,5,5,5,7.4,1.5,-7,1.6,10.625,0.03,5,10.381,0.02,5,10.283,0.02,5,12.375,3,11.782,2,12.053,2,11.663,3,11.472,1,0,2,0,1,0,0,0,0,0,1,1,0,0,0.98,0.99,0,0,1,0
180,Ruprecht_147,369-165719,289.083,99,-16.2569,88,181,1982.89,1986.4,16.346,16.447,-9999.99,0,0,1,1,3,0.2,5.9,-4.4,5.3,15.675,0.06,5,15.391,0.1,5,15.184,0.17,7,17.389,17,16.919,1,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,0,4,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0
181,Ruprecht_147,369-165720,289.084,80,-16.2635,81,171,1982.45,1981.86,16.254,16.049,-9999.99,0,0,1,1,3,0.7,5,-7.4,5.1,14.983,0.04,5,14.619,0.06,5,14.628,0.11,5,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,0,4,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0
182,Ruprecht_147,369-165722,289.087,86,-16.3991,86,170,1984.01,1983.96,15.679,16.283,-9999.99,0,0,1,1,3,1.4,5.3,0.6,5.2,14.592,0.03,5,14.048,0.04,5,13.949,0.05,5,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,0,4,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0
183,Ruprecht_147,369-165723,289.088,44,-16.2755,52,76,1994.68,1992.26,15.95,15.876,0.05,0,0,2,2,3,6.1,3.6,-4.8,3.7,14.435,0.04,5,14.001,0.04,5,13.859,0.05,5,16.434,13,15.634,5,16.027,6,15.283,7,15.027,3,0,4,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0
184,Ruprecht_147,369-165724,289.089,23,-16.3329,22,32,1999.03,1999.03,14.269,14.323,0.12,0,0,4,4,3,-6.2,3.7,0.4,3.5,12.456,0.03,5,11.819,0.02,5,11.714,0.02,5,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,0,3,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0
185,Ruprecht_147,369-165725,289.09,96,-16.2745,75,153,1987.9,1987.39,16.014,16.382,-9999.99,0,0,1,1,3,9,6,12.6,4.6,14.557,0.03,5,14.191,0.04,5,13.961,0.06,5,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,0,4,0,0,0,0,0,0,0,1,1,0,0,0.22,0,0,0,0,0
186,Ruprecht_147,369-165726,289.09,46,-16.2098,54,80,1994.19,1991.79,15.591,15.663,0.17,0,0,2,2,3,1.3,3.6,1.5,3.8,13.767,0.03,5,13.195,0.03,5,13.05,0.03,5,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,0,3,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0
187,Ruprecht_147,369-165727,289.09,18,-16.3364,18,25,1999.19,1999.2,13.729,13.742,0.08,0,0,5,5,3,2.8,3.2,-9.4,3.2,12.46,0.02,5,12.1,0.03,5,12.043,0.03,5,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,0,3,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0
188,Ruprecht_147,369-165728,289.09,16,-16.3626,16,23,1998.92,1998.92,13.035,13.007,0.09,0,0,5,5,3,-7.7,2.6,-8.2,2.6,11.047,0.03,5,10.389,0.02,5,10.238,0.02,5,14.69,1,13.334,3,14.007,2,12.899,2,12.452,3,0,3,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0
189,Ruprecht_147,369-165729,289.091,67,-16.2188,66,112,1989.82,1989.94,15.72,16.331,-9999.99,0,0,1,1,3,-1.1,4.4,-6.6,4.3,14.933,0.05,5,14.567,0.05,5,14.647,0.1,5,17.556,17,16.325,1,17.003,1,16.481,1,16.613,1,0,4,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0
190,Ruprecht_147,369-165730,289.091,35,-16.2022,35,52,1996.35,1996.33,15.17,15.163,0.07,0,0,2,2,3,-8,3.4,-1.3,3.3,13.79,0.03,5,13.35,0.03,5,13.285,0.03,5,16.175,6,15.338,0,15.72,1,15.027,3,14.908,5,0,3,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0
191,Ruprecht_147,369-165731,289.092,42,-16.3739,52,72,1994.96,1995.11,15.698,15.788,0.16,0,0,2,2,3,-16.4,3.5,4,4.4,14.293,0.04,5,13.933,0.04,5,13.813,0.05,5,16.575,1,15.788,14,16.086,3,15.506,7,15.436,1,0,4,0,0,0,0,0,0,0,3,3,0,0,0.9,0.98,0,0,1,0
192,Ruprecht_147,369-165732,289.092,67,-16.2149,41,99,1986.59,1995.06,15.276,15.068,0.08,0,0,2,2,3,1.8,4.3,-3,3.5,13.343,0.03,5,12.764,0.03,5,12.631,0.03,5,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,0,3,0,0,0,0,0,0,0,1,3,0,0,1,1,0,0,1,0
193,Ruprecht_147,369-165733,289.093,84,-16.2389,48,148,1979.65,1993.45,15.734,15.711,0.16,0,0,2,2,3,-1.1,5.4,-5.2,3.6,13.802,0.03,5,13.222,0.03,5,13.076,0.04,5,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,0,4,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0
194,Ruprecht_147,369-165734,289.094,102,-16.2621,99,147,1995.92,1995.89,15.712,15.665,0.18,0,0,2,1,2,1.8,7.1,-8.9,6.8,14.66,0.04,5,14.264,0.04,5,14.186,0.06,5,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0
195,Ruprecht_147,369-165735,289.094,15,-16.3864,16,22,1998.4,1998.24,12.786,12.794,0.07,0,0,5,5,3,-0.3,2,2.9,2.1,10.98,0.03,5,10.402,0.03,5,10.251,0.02,5,14.259,2,13.032,4,13.625,1,12.713,5,12.31,2,0,3,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0
196,Ruprecht_147,369-165736,289.094,69,-16.2087,48,107,1985.83,1993.35,15.895,16.047,0.06,0,0,2,2,3,0.3,4.4,-13.7,3.6,15.455,0.06,5,15.537,0.1,6,15.368,0.18,7,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,0,4,0,0,0,0,0,0,0,1,1,0,0,0.99,0.99,0,0,1,0
197,Ruprecht_147,369-165737,289.098,23,-16.3827,24,33,1998.66,1998.53,14.377,14.388,0.09,0,0,5,3,3,-5.5,3.3,1,3.3,12.922,0.03,5,12.457,0.03,5,12.338,0.03,5,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,0,3,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0
198,Ruprecht_147,369-165738,289.099,16,-16.2901,16,23,1998.74,1998.74,13.075,13.052,0.07,0,0,5,5,3,-10.8,2.4,-2.7,2.4,10.717,0.02,5,9.958,0.03,5,9.76,0.02,5,14.887,1,13.43,2,14.149,1,12.902,1,12.369,3,0,3,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0
199,Ruprecht_147,369-165739,289.099,21,-16.2686,21,30,1998.89,1998.88,14.266,14.317,0.13,0,0,4,4,3,-3,3.2,-0.5,3.2,12.516,0.03,5,11.938,0.03,5,11.786,0.03,5,15.561,4,14.483,10,14.958,4,14.132,3,13.796,7,0,3,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0
200,Ruprecht_147,369-165740,289.099,48,-16.2582,52,79,1993.95,1992.93,15.87,15.743,0.05,0,0,2,2,3,-1.8,3.8,3.7,3.8,14.063,0.02,5,13.633,0.02,5,13.433,0.03,25,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,0,4,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0
201,Ruprecht_147,369-165741,289.1,15,-16.2011,15,21,1996.82,1996.98,11.77,11.749,0.04,0,0,5,5,5,-7,1.4,-6.2,1.4,10.08,0.02,5,9.596,0.02,5,9.448,0.02,5,13.014,2,11.951,4,12.458,1,11.642,2,11.299,0,0,2,0,1,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0
202,Ruprecht_147,369-165742,289.1,94,-16.2314,93,238,1977.92,1977.84,16.294,16.077,-9999.99,0,0,1,1,3,-6.8,6.4,-4.4,6.3,14.455,0.03,5,13.862,0.03,5,13.749,0.05,5,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,0,4,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0
203,Ruprecht_147,369-165743,289.1,70,-16.315,70,121,1988.99,1988.87,14.923,16.377,-9999.99,0,0,1,1,3,0.8,4.5,12.2,4.5,15.204,0.04,5,14.795,0.06,5,14.71,0.11,6,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,0,4,0,0,0,0,0,0,0,1,1,0,0,0.8,0.97,0,0,1,0
204,Ruprecht_147,369-165744,289.1,51,-16.2799,34,63,1997.11,1997.53,15.243,15.338,0.08,0,0,2,2,3,-8.7,5.2,-8.4,3.7,13.681,0.03,5,13.215,0.03,5,13.105,0.04,5,16.281,8,15.299,10,15.735,3,15.125,1,14.836,1,0,3,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0
