0,Cluster_Name,UCAC4,RAJ2000,e_RAJ2000,DEJ2000,e_DEJ2000,ePos,EpRA,EpDE,f.mag,a.mag,e_a.mag,of,db,Na,Nu,Nc,pmRA,e_pmRA,pmDE,e_pmDE,Jmag,e_Jmag,q_Jmag,Hmag,e_Hmag,q_Hmag,Kmag,e_Kmag,q_Kmag,Bmag,e_Bmag,Vmag,e_Vmag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,g,c,H,A,b,h,Z,B,L,N,S,OutFlag,P_M1,P_M2_kinem,P_M2_join,P_M3,ClassM1,ClassM2,ClassM3
25,Ruprecht_147,368-170128,289.148,14,-16.4349,14,20,1998.54,1998.59,12.982,12.98,0.06,0,0,7,7,4,-4.8,1.7,-17.9,1.7,11.753,0.02,5,11.426,0.03,5,11.355,0.03,5,13.71,2,13.063,3,13.35,1,12.885,1,12.73,4,0,3,0,1,0,0,0,0,0,1,1,0,0,0.84,0.85,0,0,1,0
26,Ruprecht_147,368-170131,289.151,35,-16.4079,37,54,1996.19,1995.62,15.019,14.841,0.1,0,0,4,4,3,-4.6,3.3,0.1,3.4,13.666,0.02,5,13.272,0.04,5,13.178,0.04,5,15.98,1,15.002,1,15.427,5,14.663,1,14.212,10,0,3,0,0,0,0,0,0,0,7,7,0,0,1,1,0,0,1,0
27,Ruprecht_147,368-170134,289.153,81,-16.4315,80,143,1987.73,1987.87,16.138,16.492,-9999.99,0,0,1,1,3,1.8,5.1,6.1,5,15.292,0.04,5,14.734,0.07,5,14.55,0.09,5,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,0,4,0,0,0,0,0,0,0,1,1,0,0,0.99,0.99,0,0,1,0
28,Ruprecht_147,368-170141,289.156,13,-16.4466,21,25,1998.37,1998.24,12.144,12.121,0.04,0,0,7,7,5,-7.8,1.7,-9.6,2.5,10.281,0.02,5,9.662,0.02,5,9.578,0.02,5,13.57,1,12.376,4,12.918,1,11.997,3,11.636,3,0,2,0,1,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0
29,Ruprecht_147,368-170142,289.159,14,-16.4178,14,21,1996.93,1995.97,11.283,11.271,0.03,0,0,7,4,6,0.2,1.6,-27.5,1.2,10.235,0.02,5,9.983,0.03,5,9.932,0.03,5,11.884,3,11.317,5,11.567,1,11.159,1,11.06,1,0,2,0,1,0,0,0,0,0,1,1,0,0.92,0,0,0.97,1,0,1
30,Ruprecht_147,368-170146,289.163,29,-16.4155,30,43,1998.19,1998.07,14.975,15.11,0.09,0,0,4,3,2,-11.1,4.1,-6,4.1,13.694,0.03,5,13.362,0.03,5,13.248,0.04,5,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,0,3,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0
31,Ruprecht_147,368-170147,289.163,61,-16.4008,59,102,1989.64,1990.09,15.861,16.101,0.15,0,0,3,3,3,-1.5,4.1,-10.1,4,14.251,0.02,5,13.673,0.03,5,13.632,0.04,5,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,0,3,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0
32,Ruprecht_147,368-170150,289.166,13,-16.4422,12,18,1997.34,1997.71,10.283,10.266,0.01,0,0,7,5,7,-1,1.6,-26.5,1.6,9.105,0.03,5,8.872,0.03,5,8.78,0.02,5,10.894,3,10.286,5,-9999.99,-9999.99,-9999.99,-9999.99,9.994,1,0,2,0,1,0,0,0,0,0,1,1,0,0.91,0.01,0.01,0.98,1,0,1
33,Ruprecht_147,368-170151,289.167,67,-16.4338,70,122,1990.07,1989.16,16.17,16.316,0.2,0,0,2,2,2,-2.4,5,-1.6,5.1,14.853,0.03,5,14.392,0.05,5,14.393,0.07,5,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,0,4,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0
34,Ruprecht_147,368-170155,289.171,42,-16.4264,42,64,1995.19,1995.15,15.485,15.931,0.2,0,0,3,3,3,-2.4,3.6,4.3,3.6,14.388,0.03,5,13.973,0.04,5,13.893,0.05,5,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,0,3,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0
35,Ruprecht_147,368-170158,289.172,55,-16.4066,56,94,1990.51,1990.09,15.346,15.332,0.03,0,0,3,3,3,4.7,3.8,6.1,3.8,14.203,0.03,5,13.851,0.04,5,13.802,0.06,5,16.126,6,15.383,11,15.728,3,15.299,2,15.175,1,0,3,0,0,0,0,0,0,0,1,1,0,0,0.98,0.99,0,0,1,0
