objName	objID	raMean	decMean	raMeanErr	decMeanErr	nDetections	randomID	projectionID	skyCellID	objInfoFlag	qualityFlag	raStack	decStack	raStackErr	decStackErr	epochMean	nStackDetections	ng	nr	ni	nz	ny	gQfPerfect	gMeanPSFMag	gMeanPSFMagErr	gMeanKronMag	gMeanKronMagErr	gMeanApMag	gMeanApMagErr	gFlags	rQfPerfect	rMeanPSFMag	rMeanPSFMagErr	rMeanKronMag	rMeanKronMagErr	rMeanApMag	rMeanApMagErr	rFlags	iQfPerfect	iMeanPSFMag	iMeanPSFMagErr	iMeanKronMag	iMeanKronMagErr	iMeanApMag	iMeanApMagErr	iFlags	zQfPerfect	zMeanPSFMag	zMeanPSFMagErr	zMeanKronMag	zMeanKronMagErr	zMeanApMag	zMeanApMagErr	zFlags	yQfPerfect	yMeanPSFMag	yMeanPSFMagErr	yMeanKronMag	yMeanKronMagErr	yMeanApMag	yMeanApMagErr	yFlags	Ang Sep (')
string	integer	ra	dec	float	float	integer	double	integer	integer	integer	integer	ra	dec	float	float	double	integer	integer	integer	integer	integer	integer	float	float	float	float	float	float	float	integer	float	float	float	float	float	float	float	integer	float	float	float	float	float	float	float	integer	float	float	float	float	float	float	float	integer	float	float	float	float	float	float	float	integer	float
PSO J191647.640-161630.307	88472891984820236	19.2799000	-16.2751121	0.004	0.005	66	0.458939128051455	949	94	436527104	52	19.2799002	-16.2750855	0.001	0.001	55952.33158565	5	14	15	21	9	7	1.000	20.972	0.032	21.196	0.055	21.205	0.111	115000	0.999	20.212	0.023	20.379	0.027	20.370	0.051	115000	1.000	19.864	0.013	20.100	0.030	20.073	0.041	115000	0.999	19.730	0.066	19.988	0.182	20.189	0.184	115000	0.999	19.438	0.043	19.671	0.119	19.648	0.121	115000	1.434
PSO J191636.097-161644.999	88462891505165609	19.2766934	-16.2791910	0.080	0.080	2	0.953292839185607	949	94	310456320	37	-66.6000000	-999.0000000	-999.000	-999.000	55763.37322917	0	0	1	1	0	0	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	0	0.086	20.541	0.078	20.072	0.098	20.019	0.078	16777744	-999.000	-999.000	-999.000	19.583	0.097	-999.000	-999.000	16	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	0	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	0	1.435
PSO J191641.520-161824.697	88432891729112000	19.2782000	-16.3068605	0.089	0.089	2	0.765446442892259	949	94	268959744	32	-66.6000000	-999.0000000	-999.000	-999.000	55764.03859954	0	1	1	0	0	0	0.772	20.678	0.121	20.975	0.159	21.005	0.121	4112	0.821	20.829	0.129	21.268	0.223	21.285	0.129	4120	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	0	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	0	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	0	1.436
PSO J191637.863-161556.240	88482891577491584	19.2771838	-16.2656417	0.038	0.038	11	0.586275226982567	949	94	436527104	52	19.2771840	-16.2656164	0.001	0.001	55923.03195602	3	0	0	5	5	1	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	16416	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	16416	0.999	21.141	0.046	21.454	0.215	21.988	0.025	115000	0.999	20.754	0.038	20.865	0.163	21.074	0.150	115000	0.999	20.465	0.165	-999.000	-999.000	20.468	0.165	115000	1.439
PSO J191640.359-161821.923	88432891681812978	19.2778759	-16.3060999	0.090	0.090	5	0.595409327741162	949	94	436363264	52	19.2778734	-16.3060547	0.001	0.001	56169.32336806	3	0	1	4	0	0	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	16416	0.648	21.488	0.281	-999.000	-999.000	24.901	0.281	118840	0.999	21.824	0.032	-999.000	-999.000	25.186	0.000	115000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	114720	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	16416	1.441
PSO J191644.510-161540.158	88482891854416997	19.2790303	-16.2611682	0.009	0.024	73	0.694918410568422	949	94	436527104	52	19.2790306	-16.2611552	0.001	0.001	55986.89445602	5	14	13	20	11	15	1.000	18.453	0.008	18.784	0.028	18.682	0.036	115000	0.999	18.037	0.014	17.814	0.184	18.080	0.076	115000	0.999	17.865	0.006	17.962	0.014	17.903	0.044	16892216	0.999	17.758	0.016	17.480	0.029	17.802	0.080	16892216	0.999	17.631	0.012	17.623	0.034	17.424	0.042	16892216	1.442
PSO J191641.256-161532.857	88482891718999413	19.2781267	-16.2591435	0.017	0.016	44	0.382045780664353	949	94	436527104	52	19.2781268	-16.2591272	0.001	0.001	56028.72302083	5	9	8	15	9	3	1.000	21.869	0.072	22.068	0.128	22.016	0.066	115000	0.999	20.983	0.036	21.202	0.088	21.288	0.093	115000	1.000	20.637	0.029	20.859	0.079	20.834	0.035	115000	0.999	20.420	0.044	20.616	0.126	20.972	0.205	115000	0.999	20.052	0.136	20.254	0.219	19.895	0.029	115000	1.442
PSO J191647.302-161617.956	88472891969744428	19.2798055	-16.2716483	0.044	0.043	20	0.8050461018505	949	94	436527104	52	19.2798061	-16.2716545	0.001	0.001	56035.48201389	3	6	5	8	1	0	1.000	22.024	0.035	22.237	0.140	22.114	0.042	115000	0.999	21.722	0.074	22.045	0.192	21.953	0.088	115000	0.999	21.480	0.044	-999.000	-999.000	21.944	0.367	115000	0.745	20.870	0.211	20.740	0.224	20.713	0.211	20536	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	16416	1.443
PSO J191635.985-161656.262	88462891499221578	19.2766630	-16.2823306	0.013	0.007	31	0.750756101450656	949	94	436527104	52	19.2766627	-16.2822951	0.001	0.001	56073.95424769	5	5	9	11	5	1	0.999	20.408	0.040	20.374	0.059	20.325	0.063	115000	0.999	20.052	0.017	20.336	0.111	20.228	0.144	115000	0.999	19.820	0.024	19.932	0.041	19.846	0.040	115000	0.998	19.681	0.061	19.825	0.052	19.655	0.115	115000	0.998	19.968	0.109	-999.000	-999.000	21.027	0.109	114744	1.444
PSO J191638.547-161547.765	88482891606384423	19.2773746	-16.2632902	0.015	0.015	50	0.976742344886756	949	94	436527104	52	19.2773744	-16.2632681	0.001	0.001	56042.10847222	5	11	10	16	10	3	0.999	21.502	0.069	21.333	0.298	21.320	0.162	115000	1.000	20.903	0.051	21.049	0.012	20.926	0.003	115000	0.999	20.720	0.072	20.959	0.081	20.897	0.085	115000	0.999	20.468	0.060	20.744	0.061	20.549	0.074	115000	0.998	19.949	0.092	20.026	0.203	19.970	0.478	115000	1.444
