objName	objID	raMean	decMean	raMeanErr	decMeanErr	nDetections	randomID	projectionID	skyCellID	objInfoFlag	qualityFlag	raStack	decStack	raStackErr	decStackErr	epochMean	nStackDetections	ng	nr	ni	nz	ny	gQfPerfect	gMeanPSFMag	gMeanPSFMagErr	gMeanKronMag	gMeanKronMagErr	gMeanApMag	gMeanApMagErr	gFlags	rQfPerfect	rMeanPSFMag	rMeanPSFMagErr	rMeanKronMag	rMeanKronMagErr	rMeanApMag	rMeanApMagErr	rFlags	iQfPerfect	iMeanPSFMag	iMeanPSFMagErr	iMeanKronMag	iMeanKronMagErr	iMeanApMag	iMeanApMagErr	iFlags	zQfPerfect	zMeanPSFMag	zMeanPSFMagErr	zMeanKronMag	zMeanKronMagErr	zMeanApMag	zMeanApMagErr	zFlags	yQfPerfect	yMeanPSFMag	yMeanPSFMagErr	yMeanKronMag	yMeanKronMagErr	yMeanApMag	yMeanApMagErr	yFlags	Ang Sep (')
string	integer	ra	dec	float	float	integer	double	integer	integer	integer	integer	ra	dec	float	float	double	integer	integer	integer	integer	integer	integer	float	float	float	float	float	float	float	integer	float	float	float	float	float	float	float	integer	float	float	float	float	float	float	float	integer	float	float	float	float	float	float	float	integer	float	float	float	float	float	float	float	integer	float
PSO J084021.732+194130.619	131631300905600723	08 40 21.730	+19 41 30.53	0.030	0.030	2	0.552104326479234	1709	94	310456320	37			-999.000	-999.000	56315.55815972	0	0	1	1	0	0	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	0	0.942	18.863	0.026	17.326	0.016	17.966	0.026	16778264	0.714	19.170	0.037	17.925	0.022	18.884	0.037	16781328	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	0	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	0	1.190
PSO J084025.954+194107.307	131621301080863053	08 40 25.954	+19 41 07.31	0.011	0.011	2	0.114685322264848	1709	94	268959744	32			-999.000	-999.000	55720.11824074	0	0	0	1	1	0	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	0	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	0	0.034	14.596	0.001	-999.000	-999.000	17.248	0.001	16	0.025	14.057	0.001	14.599	0.002	14.740	0.001	24	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	0	1.191
PSO J084025.879+194108.625	131621301077913391	08 40 25.880	+19 41 08.63	0.009	0.009	5	0.0426088329801418	1709	94	268959744	32			-999.000	-999.000	56228.9897338	0	1	0	4	0	0	0.030	14.185	0.002	18.087	0.040	14.789	0.002	24	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	0	0.741	16.114	0.232	14.023	0.001	16.142	0.167	24	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	0	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	0	1.192
PSO J084022.975+193908.733	131581300957443418	08 40 22.972	+19 39 08.65	0.148	0.148	2	0.586432663338662	1709	94	310456320	37			-999.000	-999.000	55306.27947917	0	0	0	1	0	1	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	0	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	0	0.591	18.633	0.035	-999.000	-999.000	17.607	0.035	16781328	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	0	0.999	18.625	0.148	16.806	0.074	17.394	0.148	16777488	1.194
PSO J084018.955+193924.370	131581300788608639	08 40 18.953	+19 39 24.30	0.125	0.125	2	0.672200286455639	1709	94	310456320	37			-999.000	-999.000	55968.3137037	0	2	0	0	0	0	0.999	22.283	0.181	20.981	0.143	21.439	0.181	16777496	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	0	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	0	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	0	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	0	1.196
PSO J084020.173+193913.541	131581300840845192	08 40 20.172	+19 39 13.47	0.126	0.126	2	0.209775909976825	1709	94	302067712	36			-999.000	-999.000	55888.00697917	0	1	0	0	1	0	0.998	22.233	0.172	20.219	0.087	21.126	0.172	16777496	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	0	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	0	0.999	21.347	0.185	-999.000	-999.000	22.000	0.185	280	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	0	1.199
PSO J084018.965+193923.681	131581300792068285	08 40 18.966	+19 39 23.68	0.014	0.014	2	0.062630894652224	1709	94	268959744	32			-999.000	-999.000	55975.30342593	0	0	1	1	0	0	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	0	0.000	13.890	0.001	11.223	0.001	14.253	0.001	24	0.010	14.942	0.004	-999.000	-999.000	-999.000	-999.000	16	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	0	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	0	1.202
PSO J084021.990+193907.168	131581300917052893	08 40 21.989	+19 39 07.10	0.135	0.135	2	0.46579019489306	1709	94	310456320	37			-999.000	-999.000	55649.23228009	0	0	0	0	2	0	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	0	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	0	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	0	0.911	19.605	0.000	-999.000	-999.000	19.178	0.481	16777488	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	0	1.207
PSO J084019.537+193917.379	131581300814106334	08 40 19.534	+19 39 17.30	0.120	0.120	2	0.685213015121606	1709	94	302067712	36			-999.000	-999.000	56002.86391204	0	0	0	0	1	1	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	0	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	0	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	0	0.833	20.920	0.197	-999.000	-999.000	21.346	0.197	1048	0.998	18.952	0.149	17.395	0.095	17.994	0.149	16777488	1.211
PSO J084021.846+194132.167	131631300911571131	08 40 21.847	+19 41 32.03	0.020	0.020	3	0.792675575979683	1709	94	310452224	37			-999.000	-999.000	56606.61314815	0	1	0	0	2	0	0.918	18.620	0.017	-999.000	-999.000	17.777	0.017	16778264	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	0	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	0	0.999	19.661	0.057	17.184	0.000	18.678	0.065	16778264	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	0	1.213
