K2 ID	Dataset Name	Campaign	Object type	RA (J2000)	Dec (J2000)	Target Type	Actual Start Time	Actual End Time	Investigation ID	R Mag	R Mag Err	J Mag	J Mag Err	KEP Mag	Kep Flag	Hip ID	Tyc ID	SDSS ID	UCAC ID	2MASS ID	2MASS Flag	Module	Output	Channel	Ang Sep (')
integer	string	integer	substring	ra	dec	ustring	datetime	datetime	string	float	float	float	float	float	string	integer	string	string	string	string	string	integer	integer	integer	float
219703495	K2EVEREST219703495-C07	7	STAR	19 17 52.364	-16 03 23.08	LC	2015-10-04 18:07:22	2015-12-26 08:20:45	GO7035	12.705	0.040	11.162	0.024	12.743	gri				370-169098	19175236-1603230	AAA-222-111-000-0-0	10	4	32	21.685
219713804	K2EVEREST219713804-C07	7	STAR	19 15 37.940	-16 01 36.84	LC	2015-10-04 18:07:22	2015-12-26 08:20:45	GO7030_GO7035	12.725	0.050	11.332	0.021	12.766	gri				370-168236	19153794-1601367	AAA-222-111-000-0-0	10	4	32	21.743
219637145	K2EVEREST219637145-C07	7	STAR	19 15 11.826	-16 14 21.48	LC	2015-10-04 18:07:22	2015-12-26 08:20:45	GO7035	14.217	0.060	12.306	0.022	14.194	gri				369-165233	19151182-1614214	AAA-222-111-000-0-0	10	4	32	21.799
219639829	K2EVEREST219639829-C07	7	STAR	19 15 11.887	-16 13 55.48	LC	2015-10-04 18:07:22	2015-12-26 08:20:45	GO7030	13.096	0.050	11.816	0.022	13.094	gri				369-165234	19151188-1613554	AAA-222-111-000-0-0	10	4	32	21.842
219678210	K2EVEREST219678210-C07	7	STAR	19 18 04.370	-16 07 35.46	LC	2015-10-04 18:07:22	2015-12-26 08:20:45	GO7035			15.316	0.044	17.669	JHK					19180437-1607354	AAA-222-111-000-0-0	10	4	32	21.891
219596847	K2EVEREST219596847-C07	7	STAR	19 18 11.848	-16 20 49.44	LC	2015-10-04 18:07:22	2015-12-26 08:20:45	GO7035	13.682	0.020	11.935	0.023	13.697	gri				369-166367	19181185-1620494	AAA-222-111-000-0-0	10	4	32	21.896
219659103	K2EVEREST219659103-C07	7	STAR	19 15 14.461	-16 10 44.83	LC	2015-10-04 18:07:22	2015-12-26 08:20:45	GO7035			12.004	0.022	13.847	JHK				370-168077	19151445-1610448	AAA-222-111-000-0-0	10	4	32	21.918
219715749	K2EVEREST219715749-C07	7	STAR	19 17 46.093	-16 01 16.73	LC	2015-10-04 18:07:22	2015-12-26 08:20:45	GO7035	13.183	0.040	11.463	0.024	13.231	gri				370-169058	19174609-1601167	AAA-222-111-000-0-0	10	4	32	21.986
219752047	K2EVEREST219752047-C07	7	STAR	19 16 47.287	-15 55 01.54	LC	2015-10-04 18:07:22	2015-12-26 08:20:45	GO7005	11.347	0.350	6.691	0.021	10.421	gri				371-165447	19164728-1555016	AAA-111-111-000-0-0	10	4	32	21.991
219716851	K2EVEREST219716851-C07	7	STAR	19 15 38.498	-16 01 05.40	LC	2015-10-04 18:07:22	2015-12-26 08:20:45	GO7030_GO7035	11.401	0.050	10.362	0.021	11.384	gri		6296-425-1		370-168241	19153850-1601054	AAA-222-111-000-0-0	10	4	32	22.022
219479319	K2EVEREST219479319-C07	7	STAR	19 16 49.764	-16 38 57.81	LC	2015-10-04 18:07:22	2015-12-26 08:20:45	GO7035	14.919	0.090	12.905	0.027	14.895	gri				367-162832	19164975-1638577	AAA-222-111-000-0-0	10	4	32	22.062
219634222	K2EVEREST219634222-C07	7	STAR	19 18 13.525	-16 14 49.75	LC	2015-10-04 18:07:22	2015-12-26 08:20:45	GO7016_GO7035_GO7056	13.562	0.010	11.871	0.024	13.610	gri				369-166377	19181352-1614496	AAA-222-111-000-0-0	10	4	32	22.071
219660364	K2EVEREST219660364-C07	7	STAR	19 15 13.716	-16 10 32.35	LC	2015-10-04 18:07:22	2015-12-26 08:20:45	GO7035			11.557	0.022	13.118	JHK				370-168071	19151371-1610323	AAA-222-111-000-0-0	10	4	32	22.148
219752597	K2EVEREST219752597-C07	7	STAR	19 16 29.957	-15 54 55.20	LC	2015-10-04 18:07:22	2015-12-26 08:20:45	GO7035	14.138	0.046	12.260	0.024	14.182	gri				371-165335	19162995-1554552	AAA-222-111-000-0-0	10	4	32	22.249
