┬á	Cluster_Name	UCAC4	RAJ2000	e_RAJ2000	DEJ2000	e_DEJ2000	ePos	EpRA	EpDE	f.mag	a.mag	e_a.mag	of	db	Na	Nu	Nc	pmRA	e_pmRA	pmDE	e_pmDE	Jmag	e_Jmag	q_Jmag	Hmag	e_Hmag	q_Hmag	Kmag	e_Kmag	q_Kmag	Bmag	e_Bmag	Vmag	e_Vmag	gmag	e_gmag	rmag	e_rmag	imag	e_imag	g	c	H	A	b	h	Z	B	L	N	S	OutFlag	P_M1	P_M2_kinem	P_M2_join	P_M3	ClassM1	ClassM2	ClassM3
36	NGC_2682	508-049219	132.788	72	11.5107	75	118	1986.88	1989.23	16.096	15.836	0.08	0	0	2	2	2	-9.7	3.2	-6.6	3.5	14.141	0.03	5	13.583	0.03	5	13.479	0.03	5	17.271	12	16.313	10	16.876	7	15.828	2	15.654	21	0	0	0	0	0	0	0	0	0	1	0	0	0.93	1	1	0.93	1	1	1
37	NGC_2682	508-049220	132.789	50	11.5592	32	60	1998.08	1996.73	14.645	14.578	0.13	0	0	3	3	3	-10	5.1	-6.1	2.8	13.525	0.02	5	13.188	0.03	5	13.158	0.03	5	15.544	4	14.807	2	15.249	28	14.625	3	14.519	12	0	0	0	0	0	0	1	0	0	1	0	0	0.93	1	1	0.94	1	1	1
38	NGC_2682	508-049221	132.795	58	11.5848	72	101	1991.05	1990.6	15.776	15.723	0.33	0	0	2	2	2	-9.4	2.9	-1	3.5	14.745	0.04	5	14.492	0.05	5	14.308	0.06	5	16.717	6	15.911	6	16.37	29	15.764	8	15.659	1	0	0	0	0	0	0	0	0	0	1	0	0	0.93	1	1	0.87	1	1	1
39	NGC_2682	508-049223	132.798	18	11.5139	19	26	1997.75	1998.15	13.426	13.431	0.08	0	0	4	4	3	2.2	1.7	-3.1	1.9	12.341	0.02	5	12.057	0.02	5	11.925	0.02	5	14.3	6	13.576	1	14.002	29	13.38	4	13.265	8	0	0	0	0	0	0	1	0	0	1	0	0	0.2	0.05	0.07	0.11	0	0	0
40	NGC_2682	508-049224	132.799	27	11.4868	23	35	1999.14	2000	14.655	14.623	0.07	0	34	5	5	2	-14.3	2.9	-3.4	3.4	13.682	0.02	5	13.402	0.03	5	13.278	0.03	5	15.311	8	14.778	1	15.139	34	14.653	2	14.577	6	0	0	0	0	0	0	0	0	0	2	0	0	0.89	1	1	0.86	1	1	1
41	NGC_2682	508-049227	132.809	23	11.5585	20	31	1996.14	1996.76	13.167	13.157	0.07	0	0	4	4	4	-10	1.7	-3	1.5	12.274	0.02	5	12.028	0.02	5	11.941	0.02	5	13.852	3	13.317	2	13.665	30	13.194	4	13.121	11	0	0	0	1	0	0	1	0	0	1	0	0	0.93	1	1	0.94	1	1	1
42	NGC_2682	508-049231	132.82	99	11.5813	97	180	1977.1	1981.2	16.148	15.955	0.04	0	0	2	2	2	-4.1	3.9	-7.9	3.9	14.513	0.03	5	14.001	0.04	5	13.893	0.05	5	17.294	12	16.588	1	17.044	34	16.01	6	15.8	20	0	0	0	0	0	0	0	0	0	1	0	0	0.89	0.89	0.89	0.68	1	1	1
43	NGC_2682	508-049232	132.822	81	11.4758	66	118	1986.49	1992.01	15.918	15.867	0.36	0	0	2	2	2	-12.7	3.6	-3.8	3.4	14.462	0.03	5	13.997	0.03	5	13.789	0.04	5	17.248	10	16.146	16	16.627	5	15.878	7	15.601	7	0	0	0	0	0	0	0	0	0	1	0	0	0.93	1	1	0.92	1	1	1
44	NGC_2682	508-049233	132.822	87	11.5869	90	147	1985.49	1985.09	16.364	16.318	-9999.99	0	0	1	1	2	-6.9	3.7	-0.9	3.8	14.776	0.04	5	14.241	0.05	5	14.158	0.06	5	-9999.99	-9999.99	16.971	1	17.55	1	-9999.99	-9999.99	16.137	1	0	0	0	0	0	0	0	0	0	1	0	0	0.92	0.98	0.98	0.85	1	1	1
45	NGC_2682	508-049235	132.823	41	11.53	45	62	1996.3	1996.64	15.424	15.372	0.07	0	0	2	2	2	-6.5	2.8	-8.2	3.2	13.962	0.03	5	13.437	0.03	5	13.264	0.03	5	16.564	4	15.616	6	16.167	25	15.33	7	15.18	12	0	0	0	0	0	0	0	0	0	3	0	0	0.92	0.99	0.99	0.8	1	1	1
46	NGC_2682	508-049237	132.829	80	11.5882	85	139	1983.26	1985.79	16.176	15.885	-9999.99	0	0	1	1	2	-17	3.3	-6.8	3.7	14.395	0.03	5	13.925	0.04	5	13.819	0.04	5	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	0	0	0	0	0	0	0	0	0	1	0	0	0.55	0.97	0.97	0.62	1	1	1
47	NGC_2682	508-049238	132.829	20	11.5047	29	42	1987.23	1993.99	14.375	14.218	0.13	0	0	5	4	3	-0.7	1.5	-12.6	2.4	13.069	0.02	5	12.688	0.02	5	12.601	0.02	5	15.216	4	14.448	4	14.903	32	14.232	5	14.093	5	0	0	0	0	0	0	1	0	0	1	0	0	0.02	0.25	0.28	0	0	0	0
48	NGC_2682	508-049240	132.83	18	11.5428	20	27	1997.99	1998.79	13.603	13.624	0.07	0	0	4	4	3	-3	1.7	-4.1	2.1	12.758	0.02	5	12.509	0.02	5	12.453	0.02	5	14.262	6	13.759	3	14.064	29	13.635	3	13.59	9	0	0	0	0	0	0	1	0	0	1	0	0	0.91	0.75	0.79	0.82	1	1	1
49	NGC_2682	508-049241	132.831	60	11.5919	60	90	1992.64	1993.43	15.819	15.97	0.17	0	0	2	2	2	-3	3.2	-2.6	3.3	14.961	0.04	5	14.801	0.06	5	14.435	0.07	5	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	0	0	0	0	0	0	0	0	0	1	0	0	0.9	0.72	0.7	0.79	1	1	1
50	NGC_2682	508-049242	132.836	20	11.4624	19	28	1995.31	1997.36	12.9	12.891	0.08	0	0	4	4	3	-1.5	1.5	-4	1.7	11.517	0.02	5	11.088	0.02	5	10.984	0.02	5	14.002	5	13.164	3	13.645	29	12.925	3	12.679	6	0	0	0	0	0	0	1	0	0	1	0	0	0.85	0.51	0.44	0.67	1	0	1
